iter	RMSE
0	349874.5887
1	337705.7645
2	326150.0403
3	315401.355
4	305278.3778
5	295801.9613
6	286875.4817
7	278810.3971
8	270983.737
9	263745.0696
10	256671.4791
11	250028.152
12	243916.5877
13	238233.0181
14	232464.6555
15	227227.4721
16	221963.6628
17	217103.1696
18	212931.3691
19	208970.5029
20	205046.1906
21	201640.6331
22	198028.0806
23	194812.6077
24	191428.1928
25	188522.8309
26	185468.2985
27	182745.232
28	180157.7286
29	177632.1929
30	175233.5462
31	172878.6451
32	170584.429
33	168898.6239
34	167035.4046
35	165319.2305
36	163566.8673
37	162074.743
38	160665.3201
39	159272.657
40	157461.8274
41	156106.4149
42	154629.1915
43	153500.5918
44	152698.836
45	151745.8926
46	150583.2086
47	149512.787
48	148650.5371
49	147939.6194
50	147223.4818
51	146319.4259
52	145675.3114
53	144633.4813
54	144231.2831
55	143441.1126
56	142637.7675
57	141552.0096
58	140865.2086
59	140314.3166
60	139471.684
61	138773.138
62	138229.5799
63	137755.5504
64	137289.4119
65	136686.8234
66	136081.1297
67	135502.8115
68	134856.1019
69	134133.5496
70	133702.2413
71	132945.3327
72	132666.7424
73	132329.6055
74	131816.6931
75	131257.0137
76	130479.7257
77	129951.8045
78	129441.3568
79	129034.9838
80	128766.8245
81	128560.9698
82	128074.7809
83	127694.277
84	127258.1043
85	126943.31
86	126633.3429
87	126381.7951
88	126034.5548
89	125309.4825
90	124952.3985
91	124707.4577
92	124453.3684
93	124243.2038
94	123967.9089
95	123326.4719
96	123013.205
97	122566.0862
98	122048.5822
99	121840.4904
100	121591.9028
101	121424.2849
102	121157.43
103	120574.8413
104	120390.1123
105	120103.2592
106	119691.8655
107	119388.0488
108	119119.2152
109	118870.2775
110	118642.6927
111	118483.2028
112	118283.736
113	118111.6371
114	117881.3461
115	117562.5106
116	117398.7415
117	117150.6209
118	116809.5459
119	116540.6881
120	116306.6443
121	116141.2704
122	115774.9154
123	115580.1189
124	115354.8806
125	115190.8489
126	115060.8145
127	114817.6781
128	114618.2355
129	114467.6013
130	114274.1518
131	114071.0222
132	113876.4138
133	113733.172
134	113574.3284
135	113249.2878
136	113162.6832
137	112955.184
138	112796.3624
139	112622.3286
140	112452.8019
141	112290.599
142	112044.2087
143	111815.6838
144	111731.7732
145	111563.6636
146	111471.3404
147	111354.2526
148	111161.7505
149	110815.5554
150	110652.2026
151	110494.9569
152	110412.5699
153	110132.7515
154	110025.9718
155	109930.6707
156	109766.708
157	109655.1064
158	109547.1057
